ID,PartNumber,LeadTime,Specifications_Voltage,Specifications_Dimensions_Length,Specifications_Dimensions_Width,Specifications_Dimensions_Height,AlternateSupplier_ID,createdAt,createdBy,modifiedAt,modifiedBy
18299363-d160-4aab-9193-b8e560034aa9,2,20,656.42,553.57,676.27,855.93,1860496f-1d50-4829-b02d-bb879ac81179,2015-04-29T00:00:00.000Z,createdBy.aw7vn@example.org,2021-09-05T00:00:00.000Z,modifiedBy.aw7vn@example.org
18299364-056e-4eac-9ea4-60a8ca5d19ca,28,97,940.76,837.02,733.93,607.4,1860496f-1d50-4829-b02d-bb879ac81179,2010-05-17T00:00:00.000Z,createdBy.aw7vo@example.com,2005-04-03T00:00:00.000Z,modifiedBy.aw7vo@example.net
8925373f-3d93-4f0a-92f5-8724f61aa059,0,77,417.35,674.31,617.41,504.48,18604971-3900-43c3-9461-5e31e641a9cb,2012-12-29T00:00:00.000Z,createdBy.5bav1@example.net,2008-05-26T00:00:00.000Z,modifiedBy.5bav1@example.net
8925374b-01ac-48ef-9091-47ebb6d4e6bf,74,91,232.23,686.89,802.83,817.22,18604971-3900-43c3-9461-5e31e641a9cb,2011-04-16T00:00:00.000Z,createdBy.5bav2@example.org,2004-02-28T00:00:00.000Z,modifiedBy.5bav2@example.com
31331127-f0df-4f44-8ebb-cd5a2638df90,48,6,699.33,355.12,373.91,321.85,18604982-045d-4bd3-b070-a4364f8b16be,2013-07-16T00:00:00.000Z,createdBy.inj93@example.org,2007-01-25T00:00:00.000Z,modifiedBy.inj93@example.org
31331128-b0bd-45b2-af03-e260e611ae9f,85,23,818.24,751.22,972.28,690.13,18604982-045d-4bd3-b070-a4364f8b16be,2021-10-24T00:00:00.000Z,createdBy.inj94@example.com,2011-01-28T00:00:00.000Z,modifiedBy.inj94@example.org
27814855-f377-4f3c-bf0d-6ec20232fed9,14,63,722.18,880.82,727.73,48.54,1860499b-117a-410a-ab4f-9753596c3641,2018-06-27T00:00:00.000Z,createdBy.gk62v@example.org,2015-05-07T00:00:00.000Z,modifiedBy.gk62v@example.org
27814856-e79b-4940-859a-6867a44fd97b,99,45,225.61,793.43,713.3,854.63,1860499b-117a-410a-ab4f-9753596c3641,2014-02-17T00:00:00.000Z,createdBy.gk62w@example.com,2016-06-04T00:00:00.000Z,modifiedBy.gk62w@example.com
8402837d-5b96-4710-a303-08f12f069ed8,85,16,930.98,675.41,417.09,409.58,18605002-7328-4d21-866c-8de619a126eb,2010-04-04T00:00:00.000Z,createdBy.503o5@example.org,2003-02-08T00:00:00.000Z,modifiedBy.503o5@example.net
8402838d-2bde-42fd-ae1e-a0a725f413e1,42,64,344.19,725.88,936.32,712.25,18605002-7328-4d21-866c-8de619a126eb,2019-12-12T00:00:00.000Z,createdBy.503o6@example.net,2003-01-01T00:00:00.000Z,modifiedBy.503o6@example.com
